F,CR,MaxIt,nPop,Best_X1,Best_X2,Best_Cost
0.5,0.2,1000,50,0.0583360987393031,-0.0104620971401029,0.258568575971175
0.5,0.2,500,100,0.158084773513354,0.303314534064377,2.54797562749769
0.5,0.3,1000,50,-0.357646675131229,0.0884126137398275,2.6153026799441
0.5,0.4,500,50,-0.788871589457276,0.0315014399908784,2.98863469207466
0.5,0.2,1000,100,-0.978512325207856,0.0517492556250512,2.67036867740648
0.5,0.5,1500,50,-0.740653210419736,1.12173455705195,4.78781722937852
