,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6
1,2.2373,2.8753,3.693,3.6215,2.7798,2.8414
2,2.0155,2.8753,5.9902,3.1361,2.7798,3.1955
3,2.0155,0.46132,5.6172,3.1361,2.1001,3.1874
4,1.0616,0.46132,3.3341,2.0305,2.2045,2.6524
5,1.0616,0.91114,2.9953,2.0305,2.2045,2.6524
6,2.0921,0.91114,2.9125,1.8247,2.221,0.81063
7,2.0921,1.7852,2.9125,1.8247,2.6123,0.81063
8,2.9772,1.7852,2.708,1.9353,2.387,1.7133
9,2.0417,1.7146,1.4728,0.072572,1.7105,3.6397
10,2.0417,1.7146,0.27686,0.072572,1.0651,3.0718
11,1.7624,1.113,0.27686,1.2161,0.2685,3.0718
12,0.76501,1.0822,0.97072,1.2161,0.2685,2.8343
13,0.76501,1.0822,0.97072,1.0118,0.90024,3.8445
14,2.6566,0.97015,1.7345,1.0118,0.90024,2.1798
15,2.6566,0.97015,2.8086,1.0453,1.9224,2.1798
16,1.215,0.59261,3.1415,0.93638,1.9224,4.3377
17,1.215,0.59261,3.0467,0.90703,1.7221,3.7762
18,2.0524,0.49524,2.4299,0.90703,1.7221,3.3809
19,0.5822,0.49524,2.4299,2.2761,2.2441,2.9797
20,0.5822,2.7992,2.1805,2.2761,2.2441,1.7065
21,1.7153,0.52575,2.1805,2.3789,2.9515,1.7065
22,0.78114,0.52575,3.1034,3.4602,0.80119,2.1507
23,0.51383,2.0501,3.1034,0.2743,0.80119,2.2501
24,0.51383,2.0501,3.0557,1.863,0.91375,0.89321
25,3.1747,1.545,3.0557,1.7143,0.55443,0.89321
26,2.7215,1.4068,3.4246,1.4576,0.55443,1.5847
27,2.2122,0.45102,3.0888,1.4576,0.53965,2.8446
28,2.4821,0.45102,1.8447,1.6991,0.68024,1.5223
29,2.548,1.2518,1.8447,1.4006,0.68024,0.46958
30,1.4348,1.2518,1.6046,1.4006,2.6504,0.14968
31,1.4348,2.5925,1.6046,1.0987,2.6504,0.46958
32,3.4738,1.4385,2.8152,0.45774,2.6028,1.7238
33,3.4738,1.4385,2.8152,0.45774,2.2334,1.7238
34,3.3664,1.3614,2.8581,0.15052,2.2334,2.2775
35,1.6061,0.5661,2.8581,0.15052,0.85748,2.2775
36,1.3379,1.3614,2.2291,3.0352,2.1421,2.3972
37,1.3379,0.79511,2.2291,2.9654,1.2337,2.3972
38,0.80342,0.44502,2.7266,0.99866,0.21834,2.8337
39,0.80342,0.36199,3.0439,0.99866,0.2098,0.90503
40,2.6625,0.36199,3.0439,2.5608,0.19153,1.9975
41,2.7325,1.0815,2.8841,2.5608,0.19153,1.9975
42,2.7325,0.7169,2.8841,1.2586,1.8305,4.1042
43,2.5096,0.66787,3.1286,1.2586,1.5011,1.8563
44,1.9364,0.66787,1.9085,2.977,1.5011,2.5359
45,1.8675,1.0625,0.48505,2.0592,3.0971,2.5359
46,0.24149,1.0625,0.48505,2.0592,2.4144,1.5094
47,0.24149,0.48832,2.679,1.6108,1.3149,0.11932
48,0.048816,0.17888,1.9953,2.284,1.3149,1.5094
49,0.048816,0.17888,1.9953,2.284,2.6547,1.0937
50,2.8906,1.1625,2.5097,1.9632,1.7833,0.38348
51,0.70053,1.4553,2.7619,2.1294,1.2331,3.1673
52,0.70053,1.4553,2.7619,2.1294,1.2331,3.1326
53,1.309,1.762,0.82971,1.7483,1.4284,2.4492
54,1.309,0.53677,0.82971,1.7483,1.8471,2.4492
55,1.4871,0.53677,2.5404,1.9555,0.71463,3.6438
56,1.4871,0.9113,2.5404,1.3169,0.71463,2.8911
57,2.1395,0.9113,3.4696,1.3169,2.7661,2.8911
58,1.7661,0.98102,3.1595,2.6269,1.2883,3.6748
59,2.4504,0.58775,3.1595,2.3957,1.2883,3.6748
60,2.201,0.58775,3.2659,1.6031,2.6304,2.0708
61,1.9596,2.1313,2.7353,1.3099,1.5862,2.0708
62,1.0058,0.91611,0.71823,0.84057,1.5862,3.0005
63,0.21299,0.84493,0.71823,0.34103,2.3454,3.0005
64,0.21299,0.84493,2.229,0.34103,1.9463,2.6037
65,2.932,0.15078,2.229,0.25043,1.9463,2.6037
66,2.3559,0.15078,2.9115,0.25043,0.40156,0.65849
67,2.3559,1.1861,2.6269,2.2342,0.40156,2.824
68,2.7511,1.1861,2.6269,2.2342,2.7351,0.99908
69,2.702,0.86864,2.882,1.3243,0.97228,0.99908
70,1.4822,0.86864,2.109,0.70247,0.97228,3.1403
71,0.9329,1.0865,2.7122,0.70247,1.1187,0.27391
72,1.4163,1.0865,2.882,1.3307,1.1187,0.27391
73,1.4163,2.4964,1.9837,1.3307,2.108,1.9107
74,1.2332,0.44035,1.9837,0.54607,0.57378,1.9107
75,1.2332,0.44035,1.9416,0.54607,0.57378,3.2799
76,1.9511,0.99913,1.1147,0.59568,0.66788,3.2799
77,0.90957,0.85968,0.42544,0.59568,0.47138,2.5854
78,0.90957,0.85968,0.42544,1.4148,0.47138,2.5854
79,1.5816,0.19635,1.7461,1.4148,1.7071,3.3934
80,1.5816,0.19635,1.2824,1.7579,1.7071,0.96339
81,0.23572,2.3242,1.2824,1.7579,1.6304,0.96339
82,0.23572,0.84788,0.37488,1.7241,0.33928,0.88163
83,0.49755,0.30128,0.37488,1.7241,1.2536,0.88163
84,0.49755,0.30128,2.4433,2.7085,0.63054,3.6653
85,1.1143,0.80285,2.4433,2.9307,0.63054,2.8051
86,1.8866,0.80285,1.1855,0.57125,1.4742,2.8439
87,1.8866,2.7613,1.1855,0.57125,0.89704,0.6803
88,0.90968,1.8617,3.5107,2.8255,0.47889,2.8439
89,0.5481,1.5189,1.8649,2.3948,2.7048,3.3834
90,0.5481,0.4681,1.418,0.92425,2.4836,3.2302
91,1.1337,0.4681,1.418,0.92425,0.76123,3.0059
92,0.93124,2.8217,3.2513,2.7297,1.8046,0.48599
93,0.2081,0.29099,2.0752,2.0865,0.77148,3.34
94,0.2081,0.29099,2.0752,1.8382,0.77148,3.2217
95,1.1199,2.7096,1.7237,1.8382,2.4441,3.2217
96,0.37677,2.2201,1.7237,2.3683,2.0322,2.1842
97,1.1199,0.70401,0.71697,0.29328,1.6287,1.3612
98,0.92651,0.4662,0.71697,0.29328,1.6287,1.3612
99,0.77926,0.70401,1.5308,2.6443,2.8633,0.68159
