,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6
101,0.046835,1.4277,2.8128,2.6972,0.54353,0.045866
102,0.046835,1.0535,0.69931,0.74348,0.54353,2.4317
103,5.477,1.0535,1.0262,0.74348,4.1987,1.9385
104,3.6588,0.76046,1.0262,0.65274,3.522,0.38474
105,3.6588,0.81709,7.4994,0.65274,0.059326,1.2855
106,1.1026,0.032355,1.4058,0.20071,2.8222,1.302
107,1.1026,0.032355,1.4058,0.20071,1.7585,2.4645
108,1.4958,1.092,2.2606,1.8609,0.58319,0.50883
109,1.4025,1.092,2.2606,0.19224,0.58319,0.50883
110,1.4958,1.4408,4.1689,0.41015,0.043565,6.2063
111,1.1051,1.4408,3.6116,0.41015,0.043565,4.6086
112,1.1051,0.93336,3.6116,0.43489,0.03986,6.2063
113,3.8147,0.081023,0.16433,2.4001,0.03986,9.5998
114,3.8147,0.38963,1.1719,4.8053,0.18105,13.595
115,2.7938,0.38963,1.1719,2.5586,0.18105,2.3057
116,2.7938,0.18305,3.3141,0.10227,0.25828,3.372
117,6.1677,0.18305,3.3141,2.5586,0.25828,1.1134
118,6.1677,1.4599,6.0436,1.957,5.8922,1.1134
119,0.034141,1.3744,3.348,1.1023,5.0512,0.12193
120,0.034141,1.4599,3.348,1.1023,0.57628,0.12193
121,0.90812,0.074939,4.2974,2.8316,0.59232,2.155
122,0.90812,0.074939,4.2974,0.76027,0.59232,1.1094
123,0.21279,1.3957,6.6981,0.76027,2.2486,1.1094
124,0.21279,0.07567,7.0463,4.1022,0.6631,0.96675
125,3.9891,0.07567,0.68336,4.1022,1.0642,0.96675
126,1.6378,0.5858,3.2285,0.20813,1.0642,9.2157
127,1.6378,0.5858,3.2285,0.93003,1.5792,0.34788
128,0.28368,5.3969,7.3632,0.93003,0.78165,2.566
129,0.28368,1.6079,2.1644,2.1063,0.46534,1.9937
130,1.8639,1.6079,0.53874,2.1063,0.46534,0.37452
131,1.8639,0.16953,0.53874,4.3793,0.20812,0.37452
132,0.93421,0.16953,0.070216,3.7245,0.20812,4.4769
133,0.93421,0.43399,0.070216,0.40377,3.4399,2.4881
134,5.3877,0.43399,2.5113,0.40377,3.4399,0.86073
135,2.293,0.81313,1.0688,4.5746,1.9673,1.1178
136,2.293,0.26502,1.3035,4.5746,1.9673,1.1178
137,0.40669,0.0022404,1.3035,4.0015,0.90046,1.3195
138,0.40669,0.0022404,0.3902,2.2668,0.90046,1.3195
139,2.4492,1.5525,0.30014,8.1969,0.082256,0.54978
140,0.18789,1.5525,0.3902,6.9069,0.082256,0.54978
141,0.18789,0.7231,0.3902,1.0274,0.93103,0.57318
142,1.2572,0.7231,0.60282,1.0274,1.4368,0.57318
143,1.2572,1.699,0.60282,0.010866,1.4368,11.692
144,0.40157,0.094282,1.5122,0.59993,0.7022,1.9283
145,0.40157,0.067111,0.654,1.2294,3.9931,1.4898
146,7.3356,0.067111,1.2466,0.41165,0.12176,0.82013
147,0.77686,0.72629,1.5122,0.41165,1.1876,0.82013
148,1.2979,0.72629,1.3914,1.3499,3.1909,0.72983
149,1.2309,0.99807,1.3914,1.3499,0.86173,3.353
150,0.04083,0.82555,4.1488,4.8791,0.86173,4.319
151,3.9804,0.3569,2.595,8.5263,3.1155,14.797
152,3.9804,0.020738,0.4479,1.3181,0.80859,2.6237
153,4.3527,0.020738,0.4479,8.5263,2.6139,6.1225
154,4.3527,0.89066,0.51592,8.5263,0.75774,11.193
155,0.067945,0.89066,0.67495,2.7975,0.59447,7.4486
156,0.067945,0.78577,0.67495,0.71075,0.75774,6.3531
157,2.8763,0.78577,11.463,2.7975,0.75774,3.0804
158,2.8763,0.15426,2.2604,2.7975,0.80454,3.0804
159,2.0584,0.15426,0.67396,6.653,0.36332,8.5033
160,1.0695,1.1392,0.67396,1.3296,0.60911,0.73653
161,1.0695,1.4268,3.2215,1.3296,0.13472,1.5563
162,3.0624,1.4268,3.1318,0.085701,0.13472,0.037783
163,3.0624,1.7428,0.34337,0.085701,2.3563,0.037783
164,1.5609,1.7428,0.34337,3.4033,2.3563,1.0009
165,0.15261,2.2568,5.2093,3.4033,3.6215,4.5059
166,0.15261,2.2568,5.2093,2.2917,2.3304,1.5458
167,0.092674,1.379,0.57803,2.7671,0.47817,2.6104
168,0.092674,0.80894,0.57803,2.7671,1.9749,2.4783
169,2.4369,0.61204,0.31823,12.773,0.12573,0.76908
170,2.4369,0.61204,0.31823,1.2337,0.56634,2.6104
171,2.1081,1.2558,6.5946,5.2322,0.50159,2.6104
172,2.1081,0.017209,5.5206,1.528,0.50159,1.3386
173,3.4705,0.0071422,3.0314,1.528,1.8281,0.514
174,2.8744,0.0071422,0.80305,2.2602,4.6049,0.514
175,1.4553,0.5306,5.4576,2.2602,1.8601,8.3691
176,1.4553,0.78182,4.3541,3.2701,0.34899,0.28832
177,0.58007,0.13339,4.0793,0.9988,0.34899,0.28832
178,0.58007,0.28155,3.5149,2.2836,4.4998,0.61513
179,3.3782,0.28155,4.3541,3.1576,2.2603,0.61513
180,0.76527,2.0346,4.3541,1.7007,2.2603,9.2434
181,0.37852,2.0346,2.2642,1.7007,1.3671,1.9804
182,0.51364,0.73926,2.2642,2.2274,1.3671,0.36893
183,0.51364,0.79219,0.99224,1.6321,2.0455,0.36893
184,0.40154,0.79219,0.4116,1.6321,2.0455,1.1144
185,0.40154,3.1875,0.4116,4.3242,0.23342,1.1144
186,0.10028,1.6344,13.899,4.3242,0.94841,6.7582
