F,CR,MaxIt,nPop,Best_X1,Best_X2,Best_Cost
0.5,0.2,1000,50,3.5942297299639,-1.99578489928193,0.33935076736254
0.5,0.2,500,100,-3.81874047855999,-3.09808863249068,1.72475796594687
0.5,0.3,1000,50,-3.96884285755954,-3.44914112890287,2.5573811660564
0.5,0.4,500,50,3.15277842350248,2.1622998329621,1.90120326012008
0.5,0.2,1000,100,3.75709385547517,-2.02280534273624,1.91505867314891
0.5,0.5,1500,50,2.75421195894909,2.47367438816385,4.39397403965216
